City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,lebu,-37.6167,-73.65,15.74,80,63,8.06,CL,1707691993
137,grand falls-windsor,48.9332,-55.6649,1.95,94,100,2.23,CA,1707691993
138,aswan,24.0934,32.907,17.61,23,0,2.06,EG,1707691994
139,port alfred,-33.5906,26.891,20.66,79,1,2.24,ZA,1707691994
140,la ronge,55.1001,-105.2842,1.14,60,75,7.72,CA,1707691995
141,puerto armuelles,8.2833,-82.8667,30.99,56,13,2.24,PA,1707691995
142,malango,-2.9627,119.9001,20.47,97,100,1.35,ID,1707691996
143,college,64.8569,-147.8028,-3.64,84,75,2.06,US,1707691996
144,tolmin,46.183,13.7332,9.84,93,100,0.45,SI,1707691997
145,katsuura,35.1333,140.3,4.0,97,94,8.16,JP,1707691997
146,vadso,70.0744,29.7487,-7.91,86,75,4.63,NO,1707691998
147,pemangkat,1.1667,108.9667,25.24,88,99,5.97,ID,1707691998
148,suva,-18.1416,178.4415,30.71,79,75,2.57,FJ,1707691998
149,noumea,-22.2763,166.4572,27.99,99,65,7.31,NC,1707691812
150,buka,40.8108,69.1986,8.58,50,0,1.24,UZ,1707691701
151,matoury,4.8483,-52.3317,27.98,74,20,2.57,GF,1707692000
152,bamboo flat,11.7,92.7167,28.05,78,40,1.03,IN,1707692000
153,nabire,-3.3667,135.4833,26.41,83,100,2.44,ID,1707691759
154,akureyri,65.6835,-18.0878,0.96,80,100,4.63,IS,1707692002
155,hepo,23.4308,115.8299,9.75,78,7,1.06,CN,1707692002
156,pasuquin,18.3328,120.6177,18.97,88,20,2.06,PH,1707692003
157,ust-nera,64.5667,143.2,-35.63,100,97,1.2,RU,1707692003
158,gornozavodsk,58.3758,58.3211,-25.41,100,100,0.84,RU,1707692004
159,touros,-5.1989,-35.4608,27.42,81,18,5.8,BR,1707692004
160,presidencia roque saenz pena,-26.7852,-60.4388,32.7,47,74,4.63,AR,1707692005
161,christchurch,-43.5333,172.6333,19.12,55,100,5.66,NZ,1707691849
162,papao,-17.75,-149.55,28.82,84,43,7.71,PF,1707692006
163,barcelos,41.5388,-8.6151,15.08,98,99,1.03,PT,1707692007
164,avarua,-21.2078,-159.775,28.03,69,75,6.17,CK,1707692007
165,candelaria,13.9311,121.4233,22.63,78,40,4.9,PH,1707692007
166,calvinia,-31.4707,19.776,26.38,16,0,2.23,ZA,1707692008
167,trujillo,-8.116,-79.03,24.98,78,75,5.14,PE,1707692008
168,vilyuchinsk,52.9306,158.4028,-16.71,82,7,2.62,RU,1707692009
169,happy valley-goose bay,53.3168,-60.3315,0.17,100,75,2.06,CA,1707692009
170,tommot,58.9564,126.2925,-13.36,98,100,0.26,RU,1707692009
171,una,20.8167,71.0333,19.87,33,70,3.95,IN,1707692010
